Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,TTD Total Targets,PubChem Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,TTD Identified Targets,PubChem Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,TTD Percentage,PubChem Percentage
indomethacin,phen_tp_hypertension,12,5,41.67,28,2,1,1,4,0,0,0,14.29,0.0,0.0,0.0
indomethacin,phen_sig_tp_noFP_Dis_hypertension,12,4,33.33,28,2,1,1,3,0,0,0,10.71,0.0,0.0,0.0
indomethacin,phen_sig_tp_noFP_Sig_hypertension,14,1,7.14,28,2,1,1,1,0,0,0,3.57,0.0,0.0,0.0
indomethacin,pancreatitis,7,1,14.29,28,2,1,1,1,1,0,0,3.57,50.0,0.0,0.0
indomethacin,acute pancreatitis,12,4,33.33,28,2,1,1,3,1,0,0,10.71,50.0,0.0,0.0
indomethacin,pancreatitis idiopathic,4,1,25.0,28,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0
indomethacin,adenocarcinoma of pancreas,13,1,7.69,28,2,1,1,1,0,0,0,3.57,0.0,0.0,0.0
indomethacin,phen_tp_pancreatitis,12,4,33.33,28,2,1,1,3,1,0,0,10.71,50.0,0.0,0.0
indomethacin,phen_sig_tp_noFP_Dis_pancreatitis,9,2,22.22,28,2,1,1,2,1,0,0,7.14,50.0,0.0,0.0
indomethacin,phen_sig_tp_noFP_Sig_pancreatitis,16,3,18.75,28,2,1,1,2,0,0,0,7.14,0.0,0.0,0.0
indomethacin,thrombocytopenia 5,2,2,100.0,28,2,1,1,2,1,0,0,7.14,50.0,0.0,0.0
indomethacin,thrombocytopenia 6,13,3,23.08,28,2,1,1,3,0,0,0,10.71,0.0,0.0,0.0
indomethacin,macrothrombocytopenia,4,1,25.0,28,2,1,1,1,0,0,0,3.57,0.0,0.0,0.0
indomethacin,idiopathic thrombocytopenia,12,3,25.0,28,2,1,1,2,0,0,0,7.14,0.0,0.0,0.0
