Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,STITCH Total Targets,TTD Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,STITCH Identified Targets,TTD Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,STITCH Percentage,TTD Percentage
bismuth subsalicylate,adenocarcinoma of pancreas,3,1,33.33,2.0,2.0,,,0.0,1.0,,,0.0,50.0,,
bismuth subsalicylate,phen_tp_pancreatitis,4,1,25.0,2.0,2.0,,,0.0,1.0,,,0.0,50.0,,
bismuth subsalicylate,phen_sig_tp_noFP_Dis_pancreatitis,4,1,25.0,2.0,2.0,,,0.0,1.0,,,0.0,50.0,,
bismuth subsalicylate,phen_sig_tp_noFP_Sig_pancreatitis,17,1,5.88,2.0,2.0,,,1.0,0.0,,,50.0,0.0,,
bismuth subsalicylate,thrombocytopenia 5,8,2,25.0,2.0,2.0,,,1.0,1.0,,,50.0,50.0,,
bismuth subsalicylate,thrombocytopenia 6,17,1,5.88,2.0,2.0,,,1.0,0.0,,,50.0,0.0,,
bismuth subsalicylate,macrothrombocytopenia,5,0,0.0,2.0,2.0,,,0.0,0.0,,,0.0,0.0,,
bismuth subsalicylate,idiopathic thrombocytopenia,15,1,6.67,2.0,2.0,,,1.0,0.0,,,50.0,0.0,,
bismuth subsalicylate,thrombocytopenia due to platelet alloimmunization,15,1,6.67,2.0,2.0,,,0.0,1.0,,,0.0,50.0,,
bismuth subsalicylate,phen_tp_thrombocytopenia,12,2,16.67,2.0,2.0,,,0.0,2.0,,,0.0,100.0,,
bismuth subsalicylate,phen_sig_tp_noFP_Sig_thrombocytopenia,14,1,7.14,2.0,2.0,,,1.0,0.0,,,50.0,0.0,,
bismuth subsalicylate,myocardial infarction,5,0,0.0,2.0,2.0,,,0.0,0.0,,,0.0,0.0,,
bismuth subsalicylate,old myocardial infarction,15,2,13.33,2.0,2.0,,,1.0,1.0,,,50.0,50.0,,
bismuth subsalicylate,acute myocardial infarction,6,1,16.67,2.0,2.0,,,0.0,1.0,,,0.0,50.0,,
bismuth subsalicylate,phen_sig_tp_noFP_Sig_myocardial infarction,17,1,5.88,2.0,2.0,,,1.0,0.0,,,50.0,0.0,,
esmolol,hypertension,8,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,prehypertension,17,1,5.88,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,hypertensive disease,15,1,6.67,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,genetic hypertension,8,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,pulmonary hypertension,22,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,essential hypertension,7,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,"hypertension, renovascular",14,1,7.14,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,idiopathic pulmonary hypertension,11,1,9.09,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,renal hypertension,3,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,ocular hypertension,19,1,5.26,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,"hypertension, portal",0,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,phen_tp_hypertension,6,1,16.67,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,phen_sig_tp_noFP_Dis_hypertension,5,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,phen_sig_tp_noFP_Sig_hypertension,19,1,5.26,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,pancreatitis,10,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,acute pancreatitis,17,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,pancreatitis idiopathic,10,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,adenocarcinoma of pancreas,3,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,phen_tp_pancreatitis,4,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,phen_sig_tp_noFP_Dis_pancreatitis,4,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,phen_sig_tp_noFP_Sig_pancreatitis,17,1,5.88,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,thrombocytopenia 5,8,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,thrombocytopenia 6,17,1,5.88,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,macrothrombocytopenia,5,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,idiopathic thrombocytopenia,15,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,thrombocytopenia due to platelet alloimmunization,15,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,phen_tp_thrombocytopenia,12,1,8.33,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,phen_sig_tp_noFP_Sig_thrombocytopenia,14,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,myocardial infarction,5,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,old myocardial infarction,15,1,6.67,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
esmolol,acute myocardial infarction,6,0,0.0,2.0,2.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
esmolol,phen_sig_tp_noFP_Sig_myocardial infarction,17,1,5.88,2.0,2.0,,1.0,1.0,0.0,,0.0,50.0,0.0,,0.0
indomethacin,hypertension,8,0,0.0,28.0,2.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indomethacin,prehypertension,17,6,35.29,28.0,2.0,19.0,1.0,5.0,1.0,3.0,0.0,17.86,50.0,15.79,0.0
indomethacin,hypertensive disease,15,5,33.33,28.0,2.0,19.0,1.0,4.0,0.0,2.0,0.0,14.29,0.0,10.53,0.0
indomethacin,genetic hypertension,8,4,50.0,28.0,2.0,19.0,1.0,3.0,1.0,3.0,0.0,10.71,50.0,15.79,0.0
indomethacin,pulmonary hypertension,22,8,36.36,28.0,2.0,19.0,1.0,7.0,2.0,4.0,0.0,25.0,100.0,21.05,0.0
indomethacin,essential hypertension,7,4,57.14,28.0,2.0,19.0,1.0,4.0,1.0,2.0,0.0,14.29,50.0,10.53,0.0
indomethacin,"hypertension, renovascular",14,4,28.57,28.0,2.0,19.0,1.0,3.0,1.0,3.0,0.0,10.71,50.0,15.79,0.0
indomethacin,idiopathic pulmonary hypertension,11,4,36.36,28.0,2.0,19.0,1.0,3.0,1.0,2.0,0.0,10.71,50.0,10.53,0.0
